"<i>T</i>(s)","<i>S</i>ₐₑ(g)"
0,0.346
0.05,0.764
0.062065,0.865
0.1,0.865
0.15,0.865
0.2,0.865
0.25,0.865
0.3,0.865
0.310325,0.865
0.35,0.767
0.4,0.671
0.45,0.597
0.5,0.537
0.55,0.488
0.6,0.448
0.65,0.413
0.7,0.384
0.75,0.358
0.8,0.336
0.85,0.316
0.9,0.298
0.95,0.283
1,0.269
1.05,0.256
1.1,0.244
1.15,0.233
1.2,0.224
1.25,0.215
1.3,0.207
1.35,0.199
1.4,0.192
1.45,0.185
1.5,0.179
1.55,0.173
1.6,0.168
1.65,0.163
1.7,0.158
1.75,0.153
1.8,0.149
1.85,0.145
1.9,0.141
1.95,0.138
2,0.134
2.05,0.131
2.1,0.128
2.15,0.125
2.2,0.122
2.25,0.119
2.3,0.117
2.35,0.114
2.4,0.112
2.45,0.11
2.5,0.107
2.55,0.105
2.6,0.103
2.65,0.101
2.7,0.099
2.75,0.098
2.8,0.096
2.85,0.094
2.9,0.093
2.95,0.091
3,0.089
3.05,0.088
3.1,0.087
3.15,0.085
3.2,0.084
3.25,0.083
3.3,0.081
3.35,0.08
3.4,0.079
3.45,0.078
3.5,0.077
3.55,0.076
3.6,0.075
3.65,0.074
3.7,0.073
3.75,0.072
3.8,0.071
3.85,0.07
3.9,0.069
3.95,0.068
4,0.067
4.05,0.066
4.1,0.065
4.15,0.065
4.2,0.064
4.25,0.063
4.3,0.062
4.35,0.062
4.4,0.061
4.45,0.06
4.5,0.06
4.55,0.059
4.6,0.058
4.65,0.058
4.7,0.057
4.75,0.057
4.8,0.056
4.85,0.055
4.9,0.055
4.95,0.054
5,0.054
5.05,0.053
5.1,0.053
5.15,0.052
5.2,0.052
5.25,0.051
5.3,0.051
5.35,0.05
5.4,0.05
5.45,0.049
5.5,0.049
5.55,0.048
5.6,0.048
5.65,0.048
5.7,0.047
5.75,0.047
5.8,0.046
5.85,0.046
5.9,0.046
5.95,0.045
6,0.045
6.05,0.044
6.1,0.043
6.15,0.043
6.2,0.042
6.25,0.041
6.3,0.041
6.35,0.04
6.4,0.039
6.45,0.039
6.5,0.038
6.55,0.038
6.6,0.037
6.65,0.036
6.7,0.036
6.75,0.035
6.8,0.035
6.85,0.034
6.9,0.034
6.95,0.033
7,0.033
7.05,0.032
7.1,0.032
7.15,0.032
7.2,0.031
7.25,0.031
7.3,0.03
7.35,0.03
7.4,0.029
7.45,0.029
7.5,0.029
7.55,0.028
7.6,0.028
7.65,0.028
7.7,0.027
7.75,0.027
7.8,0.026
7.85,0.026
7.9,0.026
7.95,0.025
8,0.025
