STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 20/07/2017 22:31:07.000000 (GMT)
NUMBER OF DATA          : 4094
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 158.762353 (E-W) 102.007881 (U-D) 88.038613
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.010952     -0.039506     0.011356
    0.009631     -0.039728     0.011674
    0.012035     -0.039267     0.011078
    0.009682     -0.039678     0.011649
    0.012037     -0.039227     0.011066
    0.009697     -0.039634     0.011633
    0.012026     -0.039188     0.011056
    0.009707     -0.039592     0.011618
    0.012014     -0.039150     0.011048
    0.009715     -0.039550     0.011603
    0.012000     -0.039112     0.011039
    0.009722     -0.039508     0.011589
    0.011986     -0.039074     0.011031
    0.009728     -0.039466     0.011575
    0.011972     -0.039036     0.011022
    0.009734     -0.039424     0.011561
    0.011958     -0.038998     0.011014
    0.009740     -0.039382     0.011547
    0.011944     -0.038960     0.011006
    0.009746     -0.039340     0.011533
    0.011930     -0.038922     0.010997
    0.009751     -0.039299     0.011519
    0.011916     -0.038885     0.010989
    0.009756     -0.039257     0.011505
    0.011902     -0.038847     0.010980
    0.009760     -0.039216     0.011492
    0.011888     -0.038809     0.010972
    0.009765     -0.039174     0.011478
    0.011875     -0.038771     0.010963
    0.009770     -0.039132     0.011464
    0.011861     -0.038733     0.010955
    0.009774     -0.039091     0.011451
    0.011848     -0.038695     0.010946
    0.009778     -0.039050     0.011437
    0.011834     -0.038657     0.010937
    0.009782     -0.039008     0.011424
    0.011821     -0.038618     0.010929
    0.009786     -0.038967     0.011410
    0.011808     -0.038580     0.010920
    0.009789     -0.038925     0.011397
    0.011795     -0.038542     0.010911
    0.009793     -0.038884     0.011383
    0.011783     -0.038504     0.010903
    0.009796     -0.038843     0.011370
    0.011770     -0.038466     0.010894
    0.009799     -0.038801     0.011357
    0.011758     -0.038428     0.010885
    0.009803     -0.038760     0.011343
    0.011745     -0.038390     0.010876
