STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MERKEZ TARIM MUDURLUGU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4801
STATION COORDINATES     : 37.21446N-28.35612E
STATION ALTITUDE (m)    : 638
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : 5C20
RECORD TIME             : 20/07/2017 22:31:14.000000 (GMT)
NUMBER OF DATA          : 13494
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 21.838512 (E-W) 26.042589 (U-D) 9.799439
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.002665      0.000932     0.000714
    0.002642      0.000953     0.000694
    0.002683      0.000915     0.000731
    0.002642      0.000952     0.000694
    0.002682      0.000914     0.000731
    0.002642      0.000952     0.000694
    0.002681      0.000913     0.000731
    0.002641      0.000952     0.000695
    0.002680      0.000913     0.000731
    0.002641      0.000952     0.000695
    0.002680      0.000912     0.000731
    0.002640      0.000951     0.000695
    0.002679      0.000912     0.000731
    0.002639      0.000951     0.000695
    0.002678      0.000911     0.000731
    0.002639      0.000951     0.000695
    0.002677      0.000911     0.000731
    0.002638      0.000951     0.000695
    0.002676      0.000910     0.000731
    0.002637      0.000951     0.000695
    0.002675      0.000910     0.000731
    0.002637      0.000951     0.000695
    0.002674      0.000909     0.000731
    0.002636      0.000950     0.000695
    0.002673      0.000909     0.000731
    0.002635      0.000950     0.000695
    0.002672      0.000908     0.000731
    0.002635      0.000950     0.000695
    0.002671      0.000907     0.000731
    0.002634      0.000950     0.000695
    0.002670      0.000907     0.000731
    0.002633      0.000950     0.000695
    0.002669      0.000906     0.000731
    0.002633      0.000950     0.000695
    0.002668      0.000906     0.000731
    0.002632      0.000950     0.000695
    0.002667      0.000905     0.000731
    0.002631      0.000950     0.000695
    0.002666      0.000905     0.000731
    0.002631      0.000950     0.000695
    0.002666      0.000904     0.000731
    0.002630      0.000950     0.000695
    0.002665      0.000904     0.000732
    0.002629      0.000949     0.000695
    0.002664      0.000903     0.000732
    0.002629      0.000949     0.000695
    0.002663      0.000902     0.000732
    0.002628      0.000949     0.000695
    0.002662      0.000902     0.000732
    0.002627      0.000949     0.000695
    0.002661      0.000901     0.000732
    0.002627      0.000949     0.000695
    0.002660      0.000901     0.000732
    0.002626      0.000949     0.000695
    0.002659      0.000900     0.000732
    0.002625      0.000949     0.000695
    0.002658      0.000899     0.000732
    0.002624      0.000949     0.000695
    0.002657      0.000899     0.000732
    0.002624      0.000949     0.000694
    0.002656      0.000898     0.000732
    0.002623      0.000949     0.000694
    0.002655      0.000897     0.000732
    0.002622      0.000949     0.000694
    0.002655      0.000897     0.000732
    0.002622      0.000949     0.000694
    0.002654      0.000896     0.000732
    0.002621      0.000949     0.000694
    0.002653      0.000895     0.000732
    0.002620      0.000949     0.000694
    0.002652      0.000895     0.000732
    0.002619      0.000949     0.000694
    0.002651      0.000894     0.000732
    0.002619      0.000949     0.000694
    0.002650      0.000893     0.000732
    0.002618      0.000949     0.000694
    0.002649      0.000893     0.000733
    0.002617      0.000949     0.000694
    0.002648      0.000892     0.000733
    0.002617      0.000949     0.000694
    0.002647      0.000891     0.000733
    0.002616      0.000950     0.000694
    0.002646      0.000890     0.000733
    0.002615      0.000950     0.000694
    0.002645      0.000890     0.000733
    0.002615      0.000950     0.000694
    0.002645      0.000889     0.000733
    0.002614      0.000950     0.000693
    0.002644      0.000888     0.000733
    0.002613      0.000950     0.000693
    0.002643      0.000887     0.000733
    0.002612      0.000950     0.000693
    0.002642      0.000886     0.000734
    0.002612      0.000951     0.000693
    0.002641      0.000885     0.000734
    0.002611      0.000951     0.000693
    0.002640      0.000885     0.000734
    0.002610      0.000951     0.000693
    0.002639      0.000884     0.000734
    0.002610      0.000951     0.000693
    0.002638      0.000883     0.000734
    0.002609      0.000952     0.000692
    0.002637      0.000882     0.000734
    0.002608      0.000952     0.000692
    0.002636      0.000881     0.000735
    0.002608      0.000952     0.000692
    0.002635      0.000880     0.000735
    0.002607      0.000952     0.000692
    0.002635      0.000879     0.000735
    0.002606      0.000953     0.000692
    0.002634      0.000878     0.000735
    0.002605      0.000953     0.000691
    0.002633      0.000877     0.000735
    0.002605      0.000954     0.000691
    0.002632      0.000876     0.000736
    0.002604      0.000954     0.000691
    0.002631      0.000875     0.000736
    0.002603      0.000955     0.000691
    0.002630      0.000873     0.000736
    0.002603      0.000955     0.000690
    0.002629      0.000872     0.000737
    0.002602      0.000956     0.000690
    0.002628      0.000871     0.000737
    0.002602      0.000956     0.000690
    0.002627      0.000870     0.000737
    0.002601      0.000957     0.000689
    0.002626      0.000868     0.000738
    0.002600      0.000958     0.000689
    0.002625      0.000867     0.000738
    0.002600      0.000958     0.000689
    0.002624      0.000866     0.000738
    0.002599      0.000959     0.000688
    0.002623      0.000864     0.000739
    0.002598      0.000960     0.000688
    0.002622      0.000862     0.000739
    0.002598      0.000961     0.000688
    0.002621      0.000861     0.000740
    0.002597      0.000962     0.000687
    0.002620      0.000859     0.000740
    0.002597      0.000963     0.000687
    0.002619      0.000857     0.000741
    0.002596      0.000964     0.000686
    0.002618      0.000856     0.000741
    0.002596      0.000965     0.000685
    0.002616      0.000854     0.000742
    0.002595      0.000967     0.000685
    0.002615      0.000852     0.000742
    0.002595      0.000968     0.000684
    0.002614      0.000850     0.000743
    0.002595      0.000970     0.000683
    0.002613      0.000847     0.000744
    0.002594      0.000971     0.000683
    0.002611      0.000845     0.000745
    0.002594      0.000973     0.000682
    0.002610      0.000842     0.000746
    0.002594      0.000975     0.000681
    0.002609      0.000840     0.000746
    0.002593      0.000977     0.000680
    0.002607      0.000837     0.000747
    0.002593      0.000979     0.000679
    0.002606      0.000834     0.000749
    0.002593      0.000982     0.000678
    0.002604      0.000831     0.000750
    0.002594      0.000985     0.000677
    0.002602      0.000827     0.000751
    0.002594      0.000987     0.000675
    0.002600      0.000824     0.000752
    0.002594      0.000991     0.000674
    0.002598      0.000820     0.000754
    0.002595      0.000994     0.000672
    0.002595      0.000815     0.000756
    0.002596      0.000998     0.000671
    0.002593      0.000811     0.000757
    0.002597      0.001002     0.000669
    0.002590      0.000805     0.000759
    0.002599      0.001007     0.000667
    0.002586      0.000800     0.000761
    0.002601      0.001012     0.000665
    0.002582      0.000794     0.000764
    0.002604      0.001018     0.000662
    0.002576      0.000787     0.000766
    0.002609      0.001024     0.000660
    0.002570      0.000780     0.000769
    0.002614      0.001031     0.000657
    0.002562      0.000772     0.000771
    0.002622      0.001039     0.000655
    0.002551      0.000763     0.000773
    0.002633      0.001047     0.000653
    0.002536      0.000754     0.000775
    0.002649      0.001056     0.000652
    0.002515      0.000744     0.000775
    0.002674      0.001065     0.000654
    0.002481      0.000735     0.000770
    0.002715      0.001072     0.000663
    0.002425      0.000729     0.000754
    0.002791      0.001075     0.000691
    0.002315      0.000730     0.000707
    0.002954      0.001065     0.000774
    0.002045      0.000756     0.000550
    0.003449      0.001010     0.001104
    0.000900      0.000866    -0.000316
    0.011509      0.000774     0.008360
    0.002660      0.001447     0.003280
   -0.000533     -0.002696    -0.005423
    0.009583      0.005938     0.006485
    0.001540      0.006175     0.000335
    0.008702     -0.000461     0.005475
   -0.002654      0.011698    -0.004876
    0.008390     -0.010847     0.000310
    0.007459      0.003892     0.000179
    0.003491      0.000287     0.003447
    0.009795     -0.001310    -0.000425
    0.005678      0.001476     0.002557
    0.008391      0.005033     0.006449
   -0.001747      0.006561    -0.005306
    0.011802      0.001405     0.006869
    0.006305      0.000016    -0.001809
    0.002145      0.006262     0.003252
    0.000306      0.001567    -0.001973
   -0.001392      0.000968     0.001039
    0.004454      0.008953     0.000511
   -0.000817     -0.000723    -0.003221
    0.005935     -0.002373     0.001595
   -0.001296      0.002159    -0.003330
    0.003431      0.008020     0.001306
    0.001845     -0.002495    -0.004792
    0.008791      0.010705    -0.001130
    0.005741     -0.000062     0.005718
   -0.001308      0.000745    -0.003031
    0.006666     -0.000535     0.002114
    0.010900      0.004003    -0.000481
    0.002743     -0.007329     0.005849
   -0.005534     -0.000819    -0.000225
    0.008393      0.002474     0.001501
    0.003480     -0.007003     0.006800
    0.006300      0.005628    -0.001421
   -0.003208     -0.002856     0.002269
