STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MILAS METEOROLOJÝ MÜDÜRLÜÐÜ
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4806
STATION COORDINATES     : 37.30253N-27.78054E
STATION ALTITUDE (m)    : 52
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101126
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 9166
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 58.542232 (E-W) 59.994425 (U-D) 25.542791
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.002859     -0.027547     0.005457
   -0.012734     -0.028586     0.004418
   -0.015852     -0.017152     0.015593
    0.002079     -0.009096     0.023389
    0.016372      0.001559     0.008316
    0.017152     -0.001299    -0.016892
   -0.006237      0.007017    -0.024169
   -0.019491      0.007796    -0.010395
   -0.021830     -0.003119     0.003638
   -0.010395     -0.018191     0.007277
    0.014033     -0.035863     0.009875
    0.022609     -0.036123     0.007017
    0.027547     -0.032745    -0.002599
    0.017152     -0.026248    -0.004158
    0.029106     -0.019231     0.006497
    0.043399     -0.010395     0.016632
    0.016632      0.000780     0.015073
   -0.010915      0.014033     0.006757
   -0.018191      0.032225    -0.002859
   -0.006497      0.037682    -0.006237
   -0.002079      0.009096    -0.004678
    0.010395     -0.022090    -0.004418
    0.020530     -0.022609    -0.003378
    0.015073     -0.034304    -0.004678
    0.017932     -0.042360    -0.003638
    0.019751     -0.033784     0.004158
    0.019751     -0.014813     0.014553
    0.002599      0.010655     0.016372
   -0.020270      0.029106     0.011694
   -0.012214      0.034304     0.012474
    0.010655     -0.003638     0.010135
    0.019231     -0.021570    -0.001819
    0.007017     -0.017932    -0.014813
   -0.022349     -0.018711    -0.010135
   -0.031185     -0.023389     0.004418
   -0.013254     -0.028067     0.004938
   -0.004418     -0.000260    -0.000780
   -0.005457      0.014033    -0.005198
   -0.008836      0.020011    -0.006757
   -0.011954      0.009096    -0.001040
   -0.014553     -0.016372     0.009096
   -0.003898     -0.037942     0.014293
    0.003378     -0.055874     0.005198
   -0.002599     -0.052495    -0.013254
   -0.004938     -0.048077    -0.021830
    0.008836     -0.008576    -0.010655
    0.030665      0.028327     0.001299
    0.017152      0.035603     0.005977
    0.003638      0.027027     0.005198
   -0.002079      0.002859     0.000780
   -0.011175     -0.005977     0.000780
   -0.011694     -0.029626     0.010135
   -0.017412     -0.035343     0.023129
   -0.004158     -0.023909     0.021310
    0.017932     -0.018451     0.007796
    0.049117     -0.001299    -0.002859
    0.055614      0.009615    -0.006497
    0.020270      0.011435    -0.004938
    0.002339      0.006497    -0.003119
   -0.000780      0.011954     0.004678
    0.005977      0.012214     0.002859
    0.007277      0.000520    -0.012734
   -0.004158     -0.003119    -0.022869
   -0.014293     -0.005457    -0.016892
   -0.024688     -0.029106    -0.004418
   -0.011435     -0.055354     0.002079
    0.015073     -0.047298     0.012214
    0.025208     -0.038722     0.016372
    0.010135     -0.021310     0.018451
   -0.033004      0.010135     0.023909
   -0.054314      0.017412     0.017672
   -0.043919      0.015593     0.004418
   -0.020011      0.012734    -0.010915
    0.018451      0.014293    -0.013773
    0.028846      0.006237     0.000520
    0.034564     -0.018971     0.010915
    0.038722     -0.021830     0.010395
    0.022609     -0.009875     0.009356
   -0.001559     -0.000780     0.008576
   -0.018451     -0.006497     0.003638
   -0.008576     -0.008316    -0.002339
   -0.000520     -0.018191    -0.009096
    0.017932     -0.041580    -0.012734
    0.023129     -0.028586    -0.012474
    0.006757     -0.022869    -0.006757
    0.004678     -0.012994     0.002339
    0.011435      0.004938     0.006497
    0.022869      0.001559     0.005457
    0.014553     -0.006237    -0.001040
    0.006757     -0.007536    -0.007277
    0.009875      0.008836    -0.010395
    0.002859     -0.008316     0.000000
   -0.012214     -0.024169     0.020530
   -0.015073     -0.021310     0.022869
   -0.012994     -0.018451     0.014813
   -0.009615     -0.015333     0.004158
   -0.002859     -0.016632    -0.004158
   -0.011435      0.003119    -0.001559
   -0.003119     -0.010395     0.005198
    0.012214     -0.017932     0.012734
    0.007277     -0.009356     0.010915
   -0.000520     -0.002859     0.005198
    0.001040      0.003119     0.005198
   -0.009356     -0.002599     0.003119
   -0.028327      0.017152    -0.003898
   -0.024428      0.005977    -0.016892
   -0.009875     -0.008316    -0.027807
    0.003378     -0.011694    -0.030665
    0.000260     -0.025208    -0.019231
    0.005717     -0.028067     0.000520
    0.022090     -0.017152     0.014033
    0.035343      0.007017     0.016112
    0.042620     -0.009615     0.014293
    0.027807     -0.030665     0.019231
    0.010915     -0.026767     0.018971
   -0.013254      0.004158     0.014293
   -0.008576      0.028327     0.009356
    0.005717      0.017932     0.002859
    0.002339      0.006497    -0.003378
    0.015852     -0.039241    -0.008316
    0.005198     -0.043659     0.000780
   -0.017672     -0.022869     0.002859
   -0.026248     -0.023129    -0.006237
   -0.007536     -0.011694    -0.006497
    0.025468     -0.020790    -0.006757
    0.027547     -0.001819    -0.009615
    0.006497      0.005457    -0.007536
   -0.018191     -0.003119     0.003638
   -0.010135     -0.012994     0.005717
    0.005457     -0.025208    -0.000780
    0.013773      0.008316     0.001819
    0.022349      0.012214     0.011435
   -0.010395      0.007796     0.017672
   -0.036383     -0.009875     0.009096
   -0.031705     -0.033004     0.000000
   -0.003378     -0.015073    -0.001819
    0.024688      0.005198     0.005457
    0.011954      0.021830     0.020270
   -0.007796     -0.010395     0.017672
   -0.011435     -0.040801     0.000520
   -0.000260     -0.034564    -0.014033
    0.011435     -0.013514    -0.013773
    0.025208      0.000520    -0.003119
    0.026248     -0.000260     0.005717
    0.020790      0.010135     0.010655
    0.027027     -0.001559     0.003638
    0.015333     -0.002859    -0.004938
   -0.000520      0.000000    -0.008316
   -0.018711      0.001819    -0.005198
   -0.031185     -0.006497    -0.004938
   -0.021310     -0.031965    -0.013254
   -0.000520     -0.031445    -0.012214
    0.015852     -0.042620    -0.003378
    0.015593     -0.035343     0.008836
    0.020011     -0.014033     0.016632
    0.015852      0.009096     0.024428
   -0.001040      0.019491     0.023909
   -0.017672      0.002339     0.009615
   -0.026767      0.008576     0.003378
   -0.019751     -0.001559     0.002339
   -0.012474     -0.006757     0.001299
   -0.008836     -0.013254    -0.004938
   -0.001819     -0.034824    -0.010135
    0.017152     -0.040801    -0.012214
    0.031965     -0.039501    -0.011954
    0.041061     -0.018711     0.000780
    0.036383     -0.005198     0.010395
    0.003119      0.012474     0.009615
   -0.015333      0.028067     0.002079
   -0.008056      0.036903    -0.003378
    0.017412      0.023909     0.000000
    0.026507     -0.012214     0.003638
    0.006757     -0.020530     0.009356
   -0.009096     -0.028586     0.011435
   -0.014293     -0.016892     0.003378
   -0.006237     -0.007796    -0.008316
    0.005457     -0.007536    -0.005977
    0.023389      0.006497     0.001559
    0.017932      0.008836    -0.002339
   -0.004678      0.012474    -0.005457
   -0.007536     -0.002599    -0.007017
   -0.010395     -0.009875    -0.010395
   -0.011694     -0.008056    -0.014293
   -0.018451     -0.021570    -0.008836
   -0.017412     -0.031965     0.002339
    0.005717     -0.041840     0.005977
    0.027027     -0.039501     0.012994
    0.036903     -0.019491     0.022609
    0.023129      0.002079     0.031965
   -0.005198      0.003378     0.032745
   -0.025468     -0.010915     0.021050
   -0.026507     -0.015333    -0.002079
   -0.004678     -0.007017    -0.024169
    0.004938     -0.016632    -0.022349
   -0.004418     -0.029106    -0.008576
    0.002079     -0.020270    -0.002339
    0.010655     -0.009356    -0.002859
    0.023909     -0.003898    -0.003119
    0.025468     -0.000780    -0.003378
    0.008576     -0.004678    -0.001559
    0.004418     -0.020530     0.007536
    0.002079     -0.025208     0.013254
    0.017412     -0.012474     0.006757
    0.031185      0.002339     0.000520
    0.026767      0.009096     0.007796
    0.010915      0.011954     0.011694
   -0.011954      0.013773     0.003898
   -0.025468      0.002339    -0.002599
   -0.024169     -0.012474    -0.003119
   -0.012474     -0.009875    -0.001819
   -0.019751     -0.006237     0.000260
   -0.021570     -0.013254     0.005457
   -0.012214     -0.013514     0.000780
   -0.004678     -0.013254    -0.011435
   -0.003638     -0.019491    -0.015593
   -0.002339     -0.029106    -0.010395
    0.016892     -0.014293     0.000000
    0.032745     -0.000520     0.008316
    0.045219      0.000000     0.015593
    0.027807      0.010915     0.015073
   -0.003119      0.002859     0.011175
   -0.021310      0.007796     0.015073
   -0.033264     -0.004678     0.015073
   -0.027807     -0.015852     0.006237
