STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA YERKESIK ORMAN ISLETME
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4808
STATION COORDINATES     : 37.13920N-28.28725E
STATION ALTITUDE (m)    : 661
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101129
RECORD TIME             : 20/07/2017 22:30:58.000000 (GMT)
NUMBER OF DATA          : 15270
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 27.024869 (E-W) 16.344964 (U-D) 9.975898
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.019231      0.009615     0.000260
   -0.016632      0.005977     0.005977
    0.015333     -0.005717    -0.000260
    0.000520      0.004938     0.008576
   -0.002599     -0.006497    -0.005198
    0.010395      0.007536     0.005198
   -0.022869     -0.004418     0.002339
    0.014033     -0.002079    -0.001299
   -0.018451     -0.006237     0.002079
    0.016112     -0.001299     0.004158
   -0.001299      0.007796     0.010915
    0.006237      0.002599    -0.006237
    0.008576      0.007796     0.003638
   -0.017152     -0.009615    -0.001299
    0.012474      0.000000    -0.001819
   -0.022090     -0.005977    -0.005198
    0.015593      0.003898    -0.002599
   -0.006497      0.005198     0.005717
    0.008316      0.001819    -0.004678
    0.005977      0.013514     0.002339
   -0.009356     -0.004678    -0.007277
    0.013514     -0.001299     0.007536
   -0.020530     -0.013773    -0.001559
    0.015852     -0.001299    -0.005717
   -0.011954     -0.001559     0.004938
    0.011435      0.004418    -0.003638
    0.000780      0.011175     0.006757
   -0.008836     -0.010655    -0.009615
    0.010395      0.003119     0.000260
   -0.017412     -0.015333    -0.001819
    0.016632     -0.001040    -0.000260
   -0.016632      0.002079     0.011694
    0.012994      0.004418    -0.003898
   -0.003898      0.009615     0.002079
   -0.002339     -0.007536    -0.004938
    0.006237      0.004158    -0.007017
   -0.017672     -0.010135    -0.004678
    0.016112      0.007796     0.001819
   -0.015593      0.005457    -0.009096
    0.022090      0.007017    -0.008056
   -0.002339      0.004938     0.001040
    0.003638     -0.010915    -0.008316
    0.000260     -0.001559     0.009356
   -0.018451     -0.015333    -0.002079
    0.015852      0.008056    -0.001819
   -0.015073      0.003378    -0.004678
    0.019491      0.002079    -0.002339
   -0.012214      0.000520     0.007536
    0.003898     -0.010135    -0.005457
    0.002859      0.006497     0.005977
   -0.006237     -0.000260    -0.005198
    0.017932      0.009096     0.001559
   -0.017672     -0.007536    -0.001819
