STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA SELIMIYE ORMAN ISLETME SEF.
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4814
STATION COORDINATES     : 37.39910N-27.65670E
STATION ALTITUDE (m)    : 63
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101902
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 13808
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 21.625145 (E-W) 24.431816 (U-D) 14.073639
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.010915     -0.031185    -0.029366
   -0.021830      0.000260     0.013773
    0.006497     -0.003119     0.004938
    0.009615      0.002339    -0.017672
    0.013773      0.000000     0.021830
    0.017412     -0.021570    -0.014813
   -0.030406      0.014293     0.009875
    0.002079     -0.004418     0.014553
    0.000520     -0.000260    -0.021310
   -0.009875      0.009875     0.023909
    0.017412     -0.019231    -0.001299
   -0.020530      0.011175    -0.010655
    0.014813     -0.007017     0.005198
    0.011175     -0.009615    -0.019751
   -0.017672      0.007277     0.015073
    0.028586     -0.019231    -0.000260
   -0.009096      0.019491     0.006237
   -0.005457      0.006497     0.027807
    0.011954     -0.019751    -0.021830
   -0.008056      0.007536     0.015073
    0.014293     -0.013773    -0.002339
   -0.014553     -0.000520    -0.016112
   -0.000260      0.009875     0.024948
    0.014293     -0.004938    -0.026767
   -0.011694      0.006497     0.006757
    0.018451     -0.011175     0.015593
   -0.010135     -0.001040    -0.015593
   -0.010655      0.007536     0.019751
    0.011954      0.001040    -0.007017
   -0.012734      0.028327     0.011954
    0.012734     -0.005717     0.005977
   -0.017152     -0.013773    -0.020011
   -0.005457      0.006237     0.022349
    0.029106     -0.024688    -0.013254
   -0.015852      0.011954    -0.000780
    0.014553      0.009875     0.014293
   -0.004158     -0.011175    -0.015593
   -0.018191      0.016632     0.020011
    0.021050     -0.016112    -0.001819
   -0.013514      0.003638     0.000780
    0.013254      0.010915     0.010915
    0.008836     -0.009875    -0.019491
   -0.025208      0.010915     0.017412
    0.015333     -0.021570     0.003638
   -0.001819     -0.001040    -0.003898
   -0.004418      0.004418     0.008056
    0.007796     -0.022090    -0.015333
   -0.003638      0.024428     0.016372
    0.015593     -0.002339    -0.002339
   -0.010655     -0.011435    -0.010135
   -0.000520      0.013514     0.021830
    0.009356     -0.011175    -0.014033
   -0.023649      0.012994     0.003378
    0.007277     -0.001559     0.010655
   -0.001559     -0.001559    -0.008576
   -0.000520      0.005717     0.009875
    0.016112     -0.035863    -0.012994
    0.000000      0.007017     0.010135
    0.012734      0.011954     0.011694
   -0.011954     -0.002599    -0.014293
   -0.003638      0.008056     0.013254
    0.020270     -0.021310    -0.006757
   -0.008056      0.011694     0.011694
   -0.002339      0.012474     0.006757
   -0.008316     -0.010135    -0.023129
   -0.003898      0.010915     0.023909
    0.014813     -0.002859    -0.000780
   -0.010395      0.002599    -0.005977
    0.006497     -0.013254     0.010655
    0.016632     -0.016372    -0.008576
    0.001299      0.007796     0.017412
    0.001819     -0.011435    -0.005198
   -0.020270      0.016632    -0.007017
    0.001559      0.005198     0.011954
    0.007796     -0.027027    -0.008836
   -0.013254      0.014553     0.011694
    0.008576      0.004158    -0.001299
   -0.010915     -0.003898    -0.006497
    0.007536     -0.001299     0.007277
    0.023129     -0.011954    -0.008056
   -0.011435      0.021050     0.012734
    0.016372      0.000000     0.000780
    0.002339     -0.017932    -0.005457
   -0.009615     -0.004678     0.017932
    0.000260      0.003119    -0.005717
   -0.021830      0.040281     0.000520
    0.004158      0.006757     0.002859
    0.005717     -0.016632    -0.004418
    0.001299      0.003638     0.013773
    0.007536     -0.007017    -0.010395
   -0.010395      0.012994     0.000260
    0.011954     -0.002339     0.007017
    0.003898     -0.017672    -0.012214
   -0.005198     -0.000780     0.014553
    0.008836     -0.017152    -0.001559
   -0.019231     -0.012734     0.005198
    0.004938     -0.016632     0.016632
   -0.002859      0.000000    -0.013254
   -0.017932      0.023649     0.006757
    0.024948     -0.003119    -0.007017
    0.003378      0.009875    -0.007277
    0.020790      0.001040     0.019491
    0.008316      0.004678    -0.003119
   -0.022869      0.027547     0.003638
    0.006757     -0.022609    -0.001559
   -0.014813     -0.009356    -0.002079
    0.012474      0.008316     0.015333
    0.007536     -0.011175    -0.010135
   -0.027547      0.004158     0.005457
    0.009615     -0.017412     0.006237
   -0.003378     -0.002859    -0.009875
    0.007017      0.004158     0.009615
    0.014033     -0.024428    -0.005457
   -0.015333      0.013254     0.004418
    0.013514      0.004938     0.002599
    0.001819      0.011694    -0.009615
    0.000000      0.032225     0.010135
    0.009875     -0.023389    -0.006237
   -0.015852     -0.003378     0.009356
    0.009356      0.004678     0.008316
   -0.004418     -0.010915    -0.008056
   -0.008836      0.006757     0.012474
    0.013773     -0.012214    -0.010395
   -0.007017      0.010655    -0.001040
    0.011435     -0.006757     0.008576
   -0.000520     -0.024169    -0.010135
   -0.009875      0.014553     0.007277
    0.015593     -0.006757    -0.003119
   -0.003638      0.008056     0.006757
    0.000000      0.016632     0.015333
   -0.010655      0.000260    -0.003638
   -0.008316      0.008576     0.012214
    0.010915     -0.019231    -0.006757
