STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BOZBURUN ILKOGRETIM OKULU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4815
STATION COORDINATES     : 36.68860N-28.04600E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101909
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 15194
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 33.606514 (E-W) 35.893172 (U-D) 24.437534
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.001040      0.011954    -0.001040
   -0.004678      0.001819    -0.005457
   -0.001819     -0.012474    -0.001040
   -0.005198      0.004418    -0.000780
   -0.005977      0.007017    -0.003119
   -0.001040     -0.004678    -0.002859
    0.000520      0.003378     0.004678
    0.001559      0.003638     0.005198
    0.004418      0.001819    -0.001819
    0.002599     -0.005198     0.003378
   -0.000780     -0.004938     0.000520
   -0.000780      0.010135    -0.008836
    0.002079      0.004418    -0.005977
    0.008316     -0.001559    -0.000780
    0.003898      0.001040     0.000780
   -0.011694      0.003119     0.000000
   -0.014553      0.000260     0.000000
    0.000780     -0.010395     0.001299
    0.009615      0.003378     0.001559
    0.004938      0.010915    -0.000520
    0.004418      0.001559    -0.002339
   -0.000520      0.004158    -0.000520
   -0.008056      0.004158     0.000260
   -0.007017      0.004938    -0.001819
    0.002599     -0.005457    -0.001819
    0.007796     -0.010135     0.001819
   -0.002599      0.003378     0.001299
   -0.004938     -0.003638    -0.004158
    0.001040     -0.005457     0.000520
    0.003378      0.005717     0.003898
    0.005198      0.003378    -0.007017
    0.002339      0.000780    -0.002859
   -0.001299      0.007277     0.008836
   -0.002339      0.008316     0.003378
    0.000000      0.003898    -0.005717
   -0.003378     -0.003378    -0.004678
   -0.002339     -0.011435     0.005717
    0.005977      0.002859    -0.002859
    0.001040      0.009356    -0.007536
    0.003378     -0.007536     0.010655
    0.005717      0.001299     0.003638
   -0.011694      0.003119    -0.007017
   -0.012474     -0.005977     0.001299
    0.005717      0.003378     0.004678
    0.009875      0.002859     0.000520
    0.000520      0.002599    -0.009096
   -0.002599     -0.002079    -0.007796
    0.004418     -0.005717     0.004418
    0.003898      0.008576    -0.000260
   -0.006757     -0.002599    -0.007536
   -0.007277     -0.009875     0.003119
    0.001040      0.004938     0.004678
    0.004678      0.007277    -0.000260
    0.000000      0.005457     0.000260
   -0.000780     -0.004418     0.003378
    0.003638      0.000000     0.002079
   -0.008316      0.005717    -0.008576
   -0.011954     -0.005717    -0.002079
    0.011954     -0.002599     0.009096
    0.014813      0.007017     0.000780
   -0.007536      0.005977    -0.002599
   -0.010135      0.001040     0.004938
    0.003119      0.009615     0.007277
    0.004418      0.011175    -0.001819
   -0.003898     -0.012734    -0.011954
   -0.004418     -0.023129    -0.008576
   -0.002859     -0.007017     0.004418
    0.000780      0.009615     0.000520
    0.008056      0.017932    -0.007796
    0.012994      0.012734     0.008836
    0.006757      0.007017     0.009356
   -0.019751     -0.005977    -0.009875
   -0.030665     -0.030146    -0.013254
   -0.002599     -0.019751     0.001040
    0.024948      0.013773     0.014813
    0.020270      0.038462     0.007536
    0.003898      0.016372    -0.001040
   -0.000260     -0.024169    -0.006237
   -0.006497     -0.026767    -0.006497
   -0.014813     -0.011435    -0.000520
   -0.005457      0.018971     0.003119
    0.011175      0.028067     0.005198
    0.004158      0.002859    -0.003119
   -0.009096     -0.021310    -0.008836
    0.001559     -0.016112    -0.004418
    0.009875      0.008056     0.004678
    0.009356      0.013773     0.000520
    0.003898      0.008056     0.001299
   -0.008576     -0.007796     0.005717
   -0.011175     -0.003378    -0.006237
   -0.009875      0.001299     0.003119
    0.004678     -0.002079     0.001559
    0.016892      0.004418    -0.009096
    0.001040     -0.008836     0.000780
