STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA OREN BELEDIYE
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4819
STATION COORDINATES     : 37.03130N-27.97120E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101913
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 9036
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 78.7235 (E-W) 87.939778 (U-D) 45.10789
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.030925      0.011694     0.029366
    0.020530     -0.001040     0.014293
   -0.000520      0.008836    -0.019491
   -0.026248     -0.002599    -0.032225
   -0.053275      0.035343    -0.026248
   -0.015593      0.015333    -0.004678
   -0.009356      0.008056     0.004158
    0.015333     -0.014033    -0.001559
   -0.000260     -0.010915    -0.020270
   -0.011694     -0.004938    -0.022869
   -0.012994     -0.017932    -0.004418
   -0.018191      0.025208     0.009096
    0.006757      0.010135     0.028327
   -0.012214      0.027287     0.021830
   -0.006497      0.016112     0.025468
   -0.014553      0.020270     0.020790
   -0.000260      0.012994     0.005717
    0.005717     -0.018451    -0.004938
   -0.008576     -0.012734    -0.015593
   -0.011694     -0.029886     0.004938
   -0.027287      0.031185    -0.001559
   -0.016892      0.041840    -0.009356
   -0.036123      0.049117    -0.013254
   -0.016892      0.031965    -0.011175
   -0.002599      0.002599     0.000780
    0.004158      0.004938    -0.008576
    0.002339     -0.020790    -0.015593
   -0.018711      0.008316    -0.021830
   -0.016112     -0.007536    -0.001040
   -0.038982      0.021310     0.017412
   -0.010135      0.030406     0.024948
    0.000260      0.016632     0.017672
    0.004938      0.014293    -0.001819
    0.000000     -0.021050    -0.004938
   -0.021830      0.008316    -0.015593
   -0.003119      0.011954    -0.015073
   -0.008056      0.031965    -0.014813
    0.003378     -0.001040     0.000000
   -0.009615     -0.025208     0.010915
   -0.007536     -0.018191     0.015073
   -0.010915     -0.018451     0.024169
   -0.022609      0.023909     0.015073
   -0.017672      0.014033     0.019751
   -0.027547      0.047557     0.002079
   -0.010395      0.030665    -0.008576
   -0.027547      0.023129    -0.016372
   -0.015073      0.009356    -0.020530
   -0.004418     -0.022609    -0.004418
    0.015593      0.011435    -0.001819
    0.027807      0.000000     0.011694
   -0.006237      0.027807     0.005977
   -0.010655      0.007536     0.007796
   -0.039501      0.013254    -0.000520
   -0.028327      0.023649    -0.011694
   -0.030146      0.015593    -0.004418
   -0.009875      0.021310    -0.004938
    0.021570     -0.005717    -0.001819
    0.015073      0.025728    -0.013514
    0.015073      0.011175    -0.004158
   -0.019751      0.031185    -0.000520
    0.002339      0.020790     0.004418
    0.006757      0.006497     0.001819
    0.005457      0.024948    -0.011954
   -0.003638      0.009096    -0.009875
   -0.031445      0.022349    -0.014293
   -0.036643     -0.005198     0.006497
   -0.053275     -0.003378     0.012994
   -0.024428     -0.026767     0.023389
   -0.014553     -0.003638     0.025728
    0.003378      0.020530     0.009875
   -0.013773      0.015073     0.004678
   -0.031445      0.040541    -0.008056
   -0.019231      0.009615    -0.004678
   -0.025728      0.027807    -0.016372
    0.000780     -0.001299    -0.016112
   -0.009875      0.004678    -0.013514
    0.002599      0.020270    -0.011954
    0.001299      0.018451     0.000520
    0.006497      0.031185     0.003378
    0.017672     -0.022090     0.017672
    0.011954     -0.008316     0.013773
    0.035083     -0.005198     0.014293
   -0.003119      0.028327     0.011435
   -0.015333      0.030406     0.002079
   -0.035603      0.018451    -0.010135
   -0.040021      0.020790    -0.016632
   -0.023389     -0.007277    -0.005198
   -0.015333      0.015593    -0.004418
    0.012474     -0.006497     0.000520
   -0.010655      0.014813    -0.008576
   -0.010135      0.013254    -0.003378
   -0.025468      0.023389     0.001819
   -0.029366      0.036643     0.003898
   -0.027027      0.012474     0.009875
   -0.028067      0.015073     0.001819
   -0.016372     -0.039241     0.009875
   -0.027287     -0.028067    -0.001559
   -0.014033     -0.027027     0.000520
   -0.031445     -0.001819     0.009096
   -0.013773      0.021570     0.009356
    0.001559      0.017412     0.009356
    0.016112      0.044179    -0.010135
    0.023389      0.017152    -0.012994
   -0.007277      0.030146    -0.021570
   -0.001299      0.012214    -0.023649
   -0.030925      0.010655    -0.014813
   -0.027027      0.010655     0.000000
   -0.027027      0.002079     0.012734
   -0.016892      0.002599     0.008576
   -0.000260     -0.027807     0.009615
   -0.011435     -0.017152     0.009875
    0.001299     -0.031705     0.008836
   -0.020270     -0.005457    -0.013254
   -0.004938      0.001819    -0.026248
   -0.021310      0.023129    -0.025988
   -0.039241      0.043140    -0.013514
   -0.035863      0.021050     0.012474
   -0.030406      0.042620     0.014813
    0.005457      0.015852     0.016632
    0.000520      0.026767     0.005717
    0.009875      0.011175     0.002079
   -0.001819      0.015073    -0.006757
    0.001040      0.024169    -0.012994
   -0.009615      0.008576    -0.001819
   -0.021310      0.032485    -0.005457
   -0.008056      0.009356     0.004938
   -0.016372      0.033784     0.001559
    0.001559      0.004418     0.008316
   -0.013773     -0.008316     0.013514
    0.006237     -0.012994     0.004418
    0.007277     -0.020790     0.000520
   -0.003119      0.016372    -0.010135
   -0.008316      0.002079    -0.010915
   -0.035603      0.027027    -0.014553
   -0.012994      0.002339     0.011175
   -0.018191      0.004938     0.040801
    0.010915      0.013773     0.050936
    0.019751      0.020790     0.035343
    0.000260      0.027807     0.000520
   -0.029366      0.000000    -0.023129
   -0.068608      0.009096    -0.041061
   -0.048857     -0.027807    -0.030665
   -0.038982     -0.004678    -0.026767
   -0.011435     -0.012994    -0.010915
   -0.010915      0.003119    -0.007796
