STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MILAS_2 DERINCE BARAJI&#40;KRET-CREST&#41;
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4822
STATION COORDINATES     : 37.44170N-27.64600E
STATION ALTITUDE (m)    : 128
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101468
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 15142
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 76.656958 (E-W) 76.914496 (U-D) 61.345265
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.003638     -0.161643     0.004418
    0.001040     -0.160084     0.007017
    0.002859     -0.166321     0.009875
    0.004418     -0.169180     0.013254
    0.005457     -0.181654    -0.001819
    0.002859     -0.189710    -0.020790
    0.003378     -0.176197    -0.022869
    0.005717     -0.162943    -0.004418
    0.008316     -0.148650     0.014553
    0.008056     -0.144751     0.018711
    0.001040     -0.157226     0.008836
   -0.004678     -0.163723    -0.003898
   -0.001299     -0.169180    -0.010915
    0.002079     -0.181134    -0.012214
    0.000780     -0.186852    -0.002079
   -0.002339     -0.177496     0.003119
   -0.007796     -0.167881    -0.000260
   -0.009356     -0.169440    -0.003898
   -0.005977     -0.172818    -0.001559
    0.001559     -0.174637     0.003898
    0.008836     -0.182694    -0.004678
    0.011954     -0.183993     0.000520
    0.010655     -0.171779     0.007277
   -0.002859     -0.162423     0.002079
   -0.011435     -0.155406     0.010915
   -0.007796     -0.154107     0.004418
   -0.004158     -0.165542    -0.014553
    0.002339     -0.176197    -0.020790
    0.008316     -0.186072    -0.015073
    0.005977     -0.179835     0.006237
    0.003898     -0.154367     0.020270
    0.006237     -0.146311     0.011175
    0.005717     -0.156446    -0.001040
    0.005457     -0.167361    -0.007277
    0.009875     -0.169180    -0.009356
    0.011175     -0.168920    -0.007017
    0.005717     -0.176976    -0.006497
    0.000780     -0.172039    -0.006497
   -0.001299     -0.172558    -0.005977
   -0.004678     -0.180095     0.001819
   -0.003119     -0.167881     0.008576
    0.001819     -0.162683     0.004938
    0.002859     -0.162423     0.003378
   -0.000260     -0.161124    -0.001299
   -0.007277     -0.165022    -0.004938
   -0.010395     -0.165542    -0.008316
   -0.007796     -0.169960    -0.012734
   -0.005198     -0.165542    -0.009356
   -0.003638     -0.160864    -0.006237
    0.001040     -0.164762    -0.000780
    0.008836     -0.166321     0.004418
    0.012214     -0.172039     0.005198
    0.011694     -0.168920     0.011954
    0.009096     -0.168920     0.025728
    0.005717     -0.174377     0.019751
    0.002079     -0.169960    -0.005198
   -0.003638     -0.170739    -0.013514
   -0.006497     -0.169440    -0.016632
   -0.004938     -0.170999    -0.018711
    0.000260     -0.175677    -0.008836
    0.005198     -0.170479     0.000000
    0.005457     -0.166061     0.007536
    0.006497     -0.162163     0.010655
    0.004938     -0.167621     0.009875
   -0.002859     -0.178016    -0.002339
   -0.007277     -0.179575    -0.024688
   -0.005717     -0.180355    -0.026767
   -0.003638     -0.175417    -0.011435
    0.002079     -0.165022    -0.001040
    0.008836     -0.167621     0.003638
    0.005717     -0.172298     0.012994
    0.002599     -0.166061     0.016892
    0.000780     -0.160084     0.014033
   -0.004158     -0.159564     0.014033
   -0.003638     -0.162683     0.008576
   -0.002599     -0.163463     0.007536
   -0.001299     -0.163203     0.007017
    0.004158     -0.172558    -0.011175
    0.006237     -0.176456    -0.025208
    0.006237     -0.169700    -0.021050
    0.005977     -0.169700    -0.010915
    0.005977     -0.167621    -0.001559
    0.007017     -0.157745    -0.000260
    0.003119     -0.159564     0.001819
   -0.002859     -0.169180     0.001559
   -0.004938     -0.174637    -0.009356
   -0.001040     -0.179835    -0.009875
    0.003638     -0.181914    -0.006757
    0.003898     -0.178276    -0.004418
    0.006757     -0.163982     0.006497
    0.006237     -0.149949     0.015593
    0.004158     -0.147350     0.012214
